recipe_name,ingredients,steps
"Grilled Chicken Salad","chicken breast, lettuce, cucumber, tomato, olive oil, lemon, salt, pepper","1. Grill the chicken breast until cooked through. 2. Chop lettuce, cucumber, and tomato. 3. Mix the vegetables in a bowl and add olive oil, lemon juice, salt, and pepper. 4. Slice the grilled chicken and place it on top of the salad."
"Spaghetti Bolognese","ground beef, spaghetti, onion, tomato, garlic, olive oil, salt, pepper","1. Cook spaghetti according to package instructions. 2. Heat olive oil in a pan, sauté chopped onion and garlic. 3. Add ground beef and cook until browned. 4. Add chopped tomatoes, salt, and pepper. Simmer for 10 minutes. 5. Serve the sauce over the spaghetti."
"Vegetable Stir Fry","broccoli, bell pepper, carrot, onion, garlic, soy sauce, olive oil, ginger","1. Heat olive oil in a wok. 2. Sauté chopped onion, garlic, and ginger. 3. Add chopped broccoli, bell pepper, and carrot. 4. Stir fry for 5 minutes. 5. Add soy sauce and cook for another 2 minutes. Serve hot."
"Fruit Salad","apple, banana, orange, grapes, honey, lemon","1. Chop apple, banana, and orange into small pieces. 2. Peel grapes. 3. Mix all fruits in a bowl. 4. Drizzle honey and lemon juice on top. Stir well."
"Beef Tacos","ground beef, taco shell, lettuce, tomato, onion, cheese, sour cream","1. Cook ground beef in a pan with seasonings. 2. Chop lettuce, tomato, and onion. 3. Fill taco shells with beef, then top with lettuce, tomato, onion, cheese, and sour cream."
"Egg Salad","egg, mayonnaise, mustard, celery, onion, salt, pepper","1. Boil eggs and chop them. 2. Mix chopped eggs with mayonnaise, mustard, chopped celery, and onion. 3. Season with salt and pepper. Serve chilled."
"Chicken Stir Fry","chicken breast, bell pepper, onion, garlic, soy sauce, olive oil","1. Slice chicken into thin strips. 2. Heat olive oil in a pan and sauté garlic and onion. 3. Add chicken and cook until browned. 4. Add chopped bell pepper and soy sauce. Stir fry until vegetables are tender."
"Caesar Salad","lettuce, chicken breast, croutons, Caesar dressing, parmesan cheese","1. Grill the chicken breast and slice it. 2. Toss lettuce with Caesar dressing. 3. Add sliced chicken, croutons, and parmesan cheese on top."
"Cheese Omelette","egg, cheddar cheese, salt, pepper","1. Crack eggs into a bowl and whisk. 2. Heat a pan and pour the eggs. 3. Add shredded cheddar cheese and cook until eggs are set. Season with salt and pepper."
"Chicken Curry","chicken breast, onion, garlic, curry powder, coconut milk, rice","1. Cook chicken in a pan until browned. 2. Sauté onion and garlic. 3. Add curry powder and cook for 1 minute. 4. Pour in coconut milk and simmer. 5. Serve with rice."
"Veggie Wrap","whole wheat wrap, lettuce, tomato, cucumber, avocado, hummus","1. Spread hummus on the wrap. 2. Layer lettuce, tomato, cucumber, and avocado on top. 3. Roll up the wrap and serve."
"Apple Pie","apple, sugar, butter, cinnamon, pie crust","1. Peel and slice apples. 2. Mix apples with sugar and cinnamon. 3. Place in pie crust, add butter on top, and cover with another pie crust. 4. Bake at 350°F for 45 minutes."
"Grilled Cheese Sandwich","bread, cheddar cheese, butter","1. Butter one side of two slices of bread. 2. Place cheese between slices and grill in a pan until golden brown."
"Fried Rice","rice, egg, peas, carrot, onion, soy sauce","1. Cook rice and set aside. 2. Scramble an egg in a pan. 3. Add peas, chopped carrot, and onion to the pan. 4. Add rice and soy sauce. Stir fry for 5 minutes."
"Beef Stew","beef, carrot, potato, onion, garlic, beef broth, salt, pepper","1. Brown beef in a pot. 2. Add chopped onion, garlic, carrot, and potato. 3. Pour in beef broth, salt, and pepper. 4. Simmer for 1 hour until tender."
"Pasta Primavera","spaghetti, bell pepper, zucchini, tomato, garlic, olive oil","1. Cook spaghetti according to package instructions. 2. Sauté garlic in olive oil. 3. Add chopped bell pepper, zucchini, and tomato. 4. Toss with spaghetti and serve."
"Chicken Parmesan","chicken breast, breadcrumbs, marinara sauce, mozzarella cheese, spaghetti","1. Coat chicken in breadcrumbs and fry. 2. Top with marinara sauce and mozzarella cheese. 3. Bake until cheese melts. Serve with spaghetti."
"Tomato Soup","tomato, onion, garlic, vegetable broth, salt, pepper","1. Sauté onion and garlic in a pot. 2. Add chopped tomatoes and vegetable broth. 3. Simmer for 20 minutes and blend until smooth. 4. Season with salt and pepper."
"Chili","ground beef, tomato, onion, garlic, kidney beans, chili powder, salt, pepper","1. Brown ground beef in a pot. 2. Add chopped onion, garlic, tomatoes, and beans. 3. Add chili powder, salt, and pepper. Simmer for 30 minutes."
"Fish Tacos","fish fillet, taco shell, cabbage, lime, sour cream","1. Cook fish fillets. 2. Shred cabbage and toss with lime juice. 3. Fill taco shells with fish, cabbage, and sour cream."
"Avocado Toast","bread, avocado, lemon, salt, pepper","1. Toast the bread. 2. Mash avocado and mix with lemon juice, salt, and pepper. 3. Spread the mixture on the toast."
"Pancakes","flour, egg, milk, sugar, butter","1. Mix flour, sugar, eggs, and milk to make batter. 2. Heat a pan and pour in the batter. 3. Cook until golden brown on both sides."
"Banana Bread","banana, flour, sugar, butter, egg, baking soda","1. Mash bananas. 2. Mix with flour, sugar, butter, egg, and baking soda. 3. Pour into a loaf pan and bake at 350°F for 60 minutes."
"Chicken Soup","chicken, carrot, onion, celery, garlic, chicken broth","1. Cook chicken in a pot. 2. Add chopped carrot, onion, celery, and garlic. 3. Pour in chicken broth and simmer for 30 minutes."
